ROI,X,Y,T,Contour,Max. Feret diam.,Elongation ratio,Avg. ch 0
22073,451.7384615385,447.9230769231,136,28.2847763109,9.4339811321,1.2359695126,90.8923076923
22074,587,444,136,3.1415926536,0,0,68
22075,400.0888888889,450.4888888889,136,23.3992424049,8.5440037453,1.5574976571,86.1111111111
22076,220.3333333333,451.3333333333,136,16.1994949366,4.472135955,1.1184308485,58.6666666667
22077,374,413,136,12.8568542495,4.472135955,2.1355799447,77
22078,276.1666666667,413.8333333333,136,8.8710678119,2.2360679775,1.7320508076,58.1666666667
22079,319,419,136,3.1415926536,0,0,59
22080,502.3333333333,422.8888888889,136,10.2852813742,3.1622776602,1.5572201791,73.2222222222
22081,619.5,423.5,136,5.6568542495,1.4142135624,0,64.5
22082,554.8,424.4,136,7.4568542495,2.2360679775,1.8659253671,63.6
22083,574.4444444444,427.8888888889,136,10.5423881554,3.6055512755,1.9434038957,65.1111111111
22084,426.6666666667,433.125,136,16.3279220614,5.3851648071,1.2706098691,89.25
22085,600.2452830189,386.6037735849,136,27.8989898732,8.2462112512,1.1085885092,69.8867924528
22086,422.8121546961,405.4309392265,136,92.4403679019,39.1152144312,6.3731809132,93.2375690608
22087,906.9482758621,386.5344827586,136,36.5129509039,12.2065556157,2.0252992744,60.5172413793
22088,317.696969697,386.0909090909,136,19.7992424049,6.3245553203,1.1611635262,75.3333333333
22089,864.44,379.8,136,16.713708499,5.8309518948,1.3525303753,56.96
22090,574.8928571429,383.8214285714,136,18.3850288425,6.3245553203,1.4689784415,56.4285714286
22091,396.7083333333,375.5,136,16.9708152802,5.8309518948,1.3106163176,75.8333333333
22092,478.4897959184,379.7551020408,136,25.1992424049,9.8488578018,1.8856842357,86.8571428571
22093,585.4545454545,410.6363636364,136,11.9566017178,3.1622776602,1.1247921801,65.4545454545
22094,330.8181818182,412.4090909091,136,16.5850288425,5.8309518948,1.6827331879,74.9545454545
22095,474.5,405.3333333333,136,11.9566017178,3.6055512755,1.3120556614,77.9166666667
22096,518.537037037,415.3148148148,136,41.655591591,14.8660687473,1.8604171322,98.9166666667
22097,247.7843137255,398.6078431373,136,25.0705627485,8.602325267,1.2563426973,65.0392156863
22098,726,396,136,3.1415926536,0,0,42
22099,844.6666666667,392.3333333333,136,6.0426406871,1.4142135624,0,52.6666666667
22100,506.9285714286,395.9285714286,136,18.3850288425,6.3245553203,1.4467110306,70.25
22101,499.5,352.5,136,5.6568542495,1.4142135624,0,47.75
22102,398.7777777778,354.1111111111,136,20.3134559673,6.7082039325,1.6225861999,78.2592592593
22103,528.75,353.3846153846,136,25.0705627485,8.0622577483,1.0931619657,59.8076923077
22104,866.5609756098,353.4146341463,136,29.3132034356,10.6301458127,2.6032331087,54.4146341463
22105,796.5925925926,347.9259259259,136,17.0994949366,5.8309518948,1.2694559529,56.8148148148
22106,607.6530612245,349.3673469388,136,26.9989898732,9.4339811321,1.5703335335,55.8979591837
22107,644.3333333333,345.6666666667,136,6.0426406871,1.4142135624,0,47
22108,349.4666666667,337.9555555556,136,24.2992424049,8.2462112512,1.5235157212,76.2222222222
22109,697,371.5,136,10.2852813742,3.6055512755,1.6847456358,43.3
22110,638.1,367.5666666667,136,19.6705627485,6.3245553203,1.2978418431,47.2
22111,576.0588235294,366.5882352941,136,14.1423881554,5,1.5650278691,54.2352941176
22112,450.1935483871,365.3548387097,136,19.1563491861,6.7082039325,1.4784083214,73.8064516129
22113,746,361.2857142857,136,8.8710678119,2.2360679775,1,54.4285714286
22114,406.0714285714,361.9285714286,136,15.0421356237,5.6568542495,2.579160202,79.3571428571
22115,588.3913043478,359.3260869565,136,25.3276695297,8.0622577483,1.2634627112,61.652173913
22116,842.875,354.875,136,8.8710678119,2.8284271247,1.209896735,54.375
22117,601.8275862069,293.1034482759,136,18.1279220614,6.3245553203,1.478689055,50.1724137931
22118,671.5,297.5,136,9.2568542495,3.1622776602,0,42.375
22119,651.4090909091,322.8181818182,136,21.6273980446,8.0622577483,2.6575949957,49.5
22120,266,328,136,9.2568542495,2,1,45.2
22121,592.5967741935,330.4838709677,136,28.1560966544,9.4868329805,1.285782551,53.9032258065
22122,303.2105263158,336.8421052632,136,21.2134559673,6.7082039325,1.0681645796,61.0789473684
22123,640.7567567568,306.3783783784,136,21.5992424049,7.0710678119,1.3022681037,49.4324324324
22124,607.2727272727,311.6363636364,136,13.113708499,5,3.1322679516,46.7272727273
22125,579.6956521739,318.0724637681,136,29.0560966544,10.1980390272,1.3463865289,61.5362318841
22126,740.4347826087,314.8260869565,136,16.5850288425,5.0990195136,1.2167176436,57.1739130435
22127,682.5873015873,796.7936507937,137,34.9703102168,13.416407865,2.2969960054,60.4285714286
22128,681.7333333333,770.6666666667,137,13.4994949366,4.1231056256,1.2722483418,59.7333333333
22129,669,768,137,3.1415926536,0,0,58
22130,692.8095238095,763.0476190476,137,15.5566017178,5,1.1947795401,46.2380952381
22131,658.4166666667,717.75,137,12.3423881554,3.6055512755,1.313230406,47.5833333333
22132,452.2727272727,705.5,137,15.9421356237,5.0990195136,1.2220556088,50.7272727273
22133,468.4625,693.425,137,32.0132034356,10,1.0142694375,79.35
22134,407.4,688.2,137,7.4568542495,2.2360679775,48680980.7778446,64.8
22135,420.5925925926,680.9259259259,137,17.0994949366,5.8309518948,1.2694559529,74.6666666667
22136,321.2424242424,677.5454545455,137,21.0850288425,6.4031242374,1.1566028861,60.7575757576
22137,401.5217391304,675.8695652174,137,17.3566017178,6.7082039325,2.1137965715,60.3043478261
22138,426.625,662.75,137,10.9281745931,3.1622776602,1.7790701871,60.75
22139,652.4081632653,664.1224489796,137,26.6132034356,9.4868329805,1.6269084467,53.9183673469
22140,394.3333333333,659.3333333333,137,6.0426406871,1.4142135624,0,59.6666666667
22141,498.5,656.5,137,14.913708499,5.8309518948,1.9440542188,67.5
22142,487.075,650.075,137,22.2421356237,7.8102496759,1.3772228395,81.45
22143,440.9545454545,657.1136363636,137,25.1989898732,8.94427191,1.789828336,71.2954545455
22144,256.7,644.3,137,11.6994949366,3.1622776602,1.3695880571,52
22145,270.0892857143,649.1964285714,137,26.741883092,8.602325267,1.2319201396,63.3928571429
22146,468.4042553191,643.7234042553,137,27.3847763109,10.1980390272,2.0810948771,68
22147,644.0107526882,642.6451612903,137,38.6987373415,15.0332963784,2.1026596209,64.064516129
22148,236,637.5,137,14.3994949366,4.1231056256,2.4464514593,47.6
22149,422.2272727273,641.3636363636,137,19.6708152802,7.0710678119,2.4396985328,69.5454545455
22150,273.25,631.625,137,10.9281745931,3.1622776602,1.7790701871,51.875
22151,766.6666666667,632.1111111111,137,10.2852813742,3.1622776602,1.5572201791,49.7777777778
22152,486.8095238095,625.0476190476,137,15.5566017178,5,1.1947795401,78.5238095238
22153,236.5384615385,625.8461538462,137,12.7281745931,3.6055512755,1.1067104459,54.0769230769
22154,480.6666666667,617.5555555556,137,10.9281745931,3.1622776602,1.5673477664,81.2222222222
22155,336.3684210526,618.7894736842,137,15.5566017178,4.472135955,1.0889853815,65.0526315789
22156,219.4,614.4,137,12.4710678119,4.2426406871,1.1233108048,52.8666666667
